symbol,trade_date,entry_price,is_20cm,price,day1_pct_chg,day1_volume_ratio_5,day1_turnover,day1_close_position,day1_upper_shadow,day1_amplitude,day2_pct_chg,day2_volume_ratio_day1,day2_turnover,day2_close_position,day2_upper_shadow,day2_lower_shadow,day2_amplitude,day2_close_vs_day1_close,entry_open_gap_pct_chg,entry_high_from_open_pct_chg,entry_breakout_pct,ret_3,ret_5,ret_10,ret_20,amp_10,amp_20,amp_30,vol_ratio_3,vol_ratio_5,vol_ratio_10,turnover_3,turnover_5,turnover_10,limit_up_count_5,limit_up_count_10,limit_up_count_20,days_since_limit_up,label_trade_worth,label_limit_up_1d,label_limit_up_2d,label_limit_up_3d,label_repair_3d,label_big_loss,target_return_3d,target_max_high_return_3d,target_min_low_return_3d
000009.SZ,2021-06-15,15.092015793399998,0.0,13.92596296,9.968847352024923,1.2980086061583063,9.4082,1.0,0.0,0.10981308411214963,0.07082152974504652,1.068061167488122,10.0485,0.40000000000000047,0.03397027600849254,0.0226468506723284,0.056657223796033995,0.0007082152974504652,5.449398443029008,4.093959731543628,0.061601642710472415,0.19236760124610597,0.3657448706512043,0.49657869012707745,0.5543147208121828,0.5762195121951219,0.6343519494204426,0.6343519494204426,0.9183624939300568,0.9672330398290729,1.6772448497651595,9.868,11.40068,6.83023,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0469014461878281,0.055396901119439734,-0.09686779111636801
000009.SZ,2021-07-12,22.891245431599998,0.0,20.09993804,9.983810037776596,1.1591754041473392,5.0935,1.0,0.0,0.0744738262277389,7.8508341511285495,1.2481109020188643,6.3573,0.9243243243243257,0.006369426751592235,0.005004549590536885,0.0907752698724239,0.0785083415112855,2.82074613284804,6.371681415929187,0.08679927667269438,0.28980032379924436,0.3442069741282341,0.32409972299168976,0.6914366595895258,0.4141176470588235,0.7395079594790159,1.4631147540983607,1.0855663921152896,1.1345588916459486,1.2533604154606994,5.7573333333333325,5.500400000000001,4.7341500000000005,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.044385658029659325,0.014640115121800079,-0.07368312207563898
000062.SZ,2024-08-30,24.101123526999995,0.0,21.86106588,9.980525803310613,2.3372677027380058,11.3605,1.0,0.0,0.16942551119766314,3.8069942452412464,1.39366613708562,15.8328,0.5795795795795796,0.059701492537313404,0.08230277185501064,0.14741035856573692,0.038069942452412464,3.4115138592750505,6.391752577319587,0.03822937625754541,0.2560856864654333,0.5203299941072479,1.4478178368121442,1.9284903518728722,1.2260569456427954,2.075089392133492,2.1695331695331697,0.6761748825736332,1.0366101125334457,1.5580827149247494,12.183933333333334,10.4058,6.601730000000001,4.0,9.0,11.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3788534315742984,0.3788534315742984,0.09135807426294207
000070.SZ,2020-08-17,14.152059999999999,0.0,13.26,10.041493775933596,1.0222348278110809,6.5548,1.0,0.0,0.09709543568464718,1.5082956259427016,1.5012156063448439,9.8401,0.4375000000000014,0.03343239227340262,0.026002971768202186,0.06033182503770751,0.015082956259427016,2.3774145616641817,3.4833091436865082,0.025161754133716796,0.17510373443983407,0.09852598913886723,0.1899159663865546,0.25531914893617036,0.23892267593397043,0.4118811881188118,0.4118811881188118,1.0876105086840555,1.1747350950772033,0.9874186833832739,7.958733333333334,6.734139999999999,7.78272,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.06515376560020225,0.05143703460838922,-0.07433970743481866
000155.SZ,2020-11-18,7.64886200832,0.0,6.80772924,10.03134796238243,3.474902508649525,7.639,1.0,0.0,0.08307210031347956,6.837606837606858,1.5241659018167635,11.6432,0.7142857142857152,0.02933333333333325,0.009333333333333312,0.1096866096866097,0.06837606837606858,2.400000000000002,7.291666666666652,0.06735751295336789,0.19122257053291536,0.3356766256590509,0.45593869731800774,0.5800415800415801,0.5815738963531671,0.7347368421052634,0.7991266375545851,1.7709310344708342,2.305712593704417,2.9931053015624807,10.325433333333335,6.98494,4.90967,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.059254300551768946,-0.0034688412852968975,-0.10870050308341439
000155.SZ,2021-07-22,20.72562739494,0.0,18.44487324,10.005783689994207,1.195693825179432,15.2433,1.0,0.0,0.11625216888374768,6.992639327024186,1.0309458401591445,15.7151,0.7622377622377619,0.016707616707616724,0.019164619164619187,0.07518401682439535,0.06992639327024186,2.2604422604422636,2.835175396444023,0.034316094731754676,0.21573163678426832,0.1762730833799664,0.38380513495720847,0.5972644376899696,0.452817379497624,0.6398467432950192,0.7469387755102042,0.9142576071650469,0.9910577231341519,1.0032288437483179,14.574800000000002,13.19416,13.278809999999998,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.08337454794550025,0.057464788996002936,-0.08337454794550025
000158.SZ,2024-09-20,10.454859999999998,0.0,9.13,10.000000000000009,1.422136225031676,22.2021,1.0,0.0,0.11686746987951824,7.009857612267245,1.2533045648017773,27.826,0.7981651376146783,0.02251791197543507,0.020470829068577206,0.11938663745892664,0.07009857612267245,4.196519959058342,5.5992141453831135,0.07607607607607614,0.29518072289156616,0.3659466327827192,0.43333333333333335,0.8067226890756303,0.6044776119402984,0.8220338983050846,0.8859649122807016,0.6141117805867236,0.680815279873248,0.958649693707541,21.647233333333332,21.166040000000002,16.13431,3.0,4.0,6.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.155443497091305,0.24152786359645195,-0.02915964441417651
000408.SZ,2021-12-07,25.114401779999998,0.0,23.59009372,9.996199163816044,2.159700431525131,8.3388,1.0,0.0,0.10262257696693278,2.14236351071182,1.3246853358035602,11.0463,0.43971631205673767,0.026725304465493933,0.012178619756427686,0.048721492743607486,0.0214236351071182,1.4884979702300294,2.966666666666673,0.017792421746293252,0.12808817939946793,0.07927272727272716,0.10089020771513368,0.03558967201674812,0.18035918991211308,0.23313373253493008,0.2774451097804391,0.9358690929403487,1.2134298922838056,1.5106137653183886,8.792266666666668,6.4191,5.0653,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.01785134696527102,0.03862382343395021,-0.08893216488153188
000422.SZ,2021-08-16,12.348858000959998,0.0,11.25366606,10.046511627906973,1.8365449459549583,9.915,1.0,0.0,0.09581395348837218,4.564666103127624,1.0060561669433339,9.9751,0.6203703703703691,0.03314470493128547,0.004042037186742024,0.0912933220625527,0.04564666103127624,2.182700080840738,7.6740506329114,0.06494522691705784,0.21302325581395332,0.3158425832492433,0.35550935550935536,0.20740740740740748,0.5105438401775806,0.5105438401775806,0.6011764705882354,1.2104919759938195,1.5032832829217275,1.8060012249599873,10.187166666666666,8.21302,6.51914,2.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.033993566119827734,0.04381077983064863,-0.06095546818187414
000426.SZ,2026-01-07,42.107,0.0,39.16,9.999999999999986,1.393485554341832,6.0724,1.0,0.0,0.07668539325842683,2.8855975485189145,0.8891022650319828,5.399,0.6915422885572149,0.015388433854554417,0.02482005460412013,0.05132788559754842,0.028855975485189145,1.7622238768925325,7.195121951219519,0.07430945978978265,0.18370786516853932,0.14541995107366135,0.16602102933038188,0.20434409831380385,0.27687391051714116,0.3594184967522427,0.42694805194805197,1.062853978241772,1.0411920292898071,1.246447747839606,5.677166666666667,5.1693,4.64149,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.07820552402213399,0.08390528890683258,-0.04006459733535983
